,comment,sentiment_scores
28,the scene where strauss is told something along the lines of maybe they were talking about more important things had me grinning ear to ear oh my god,"{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.6901}"
29,question about the scene where  a character drowns themselves in a bathtub was there certain shots in this sequence that showed another pair of hands drowning them  ie implying it couldve been murder   anyway enjoyed the film reminded me a lot of oliver stones nixon that i love its missing stones sense of paranoia though,"{'neg': 0.174, 'neu': 0.689, 'pos': 0.138, 'compound': -0.3612}"
30,i believe we did ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
31,didnt know josh peck was going to be in it that was a funny and pleasant surprise,"{'neg': 0.0, 'neu': 0.628, 'pos': 0.372, 'compound': 0.8074}"
32,that scene after the bombs have been dropped and oppenheimer is addressing that classroom of people was one of the most haunting things ive seen the way the background shook and the flash burned the audience mixed with the silence was something else,"{'neg': 0.085, 'neu': 0.915, 'pos': 0.0, 'compound': -0.4201}"
33,i was genuinely surprised when i saw rami malek didnt know he was here,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.2263}"
34,the biggest thing for me was just how impactful the first explosion was to the people that were there doing the testing they werent just creating another bomb but something terrifying world ending stuff nolan really gets that across to the audience impactful stuff but the size of the explosion threw me off because you see stuff like this and the close up shots of the buildings being destroyed like this but to realize a nuclear explosion is just this when viewed from afar i can now totally see the scale nolan was going for it never really occurred to me just how almost simple the explosion could be portrayed i never put a lot of thought into it but its still so horrifying in its destructiveness,"{'neg': 0.161, 'neu': 0.795, 'pos': 0.043, 'compound': -0.9618}"
35,ludwig göransson might be approaching a hans zimmer level of film composer the way he orchestrated the score adds so much to the tension and anxiety of the movie hopefully he picks up the oscar,"{'neg': 0.103, 'neu': 0.827, 'pos': 0.07, 'compound': -0.0772}"
36,for the physics folks here feynman and his repeated scenes with the bongos cracked me up jokes aside nolan outdid himself and it lived up to the hype for me,"{'neg': 0.0, 'neu': 0.935, 'pos': 0.065, 'compound': 0.25}"
37,its hilarious that the nude scene that everybody made so much out of even included the destroyer of worlds bhagavad gita quote,"{'neg': 0.117, 'neu': 0.778, 'pos': 0.105, 'compound': -0.0772}"
38,anyone else catch the black gloved hand in the corner of the frame during the tatlock suicide scene in the birdsherwon book there is a suggestion that she was murdered i thought this was an interesting way of visualizing the ambiguous circumstances of her death,"{'neg': 0.218, 'neu': 0.681, 'pos': 0.101, 'compound': -0.836}"
39,i found emily blunts portrayal of kitty oppenheimer particularly compelling and it was amazing how complete a character she was in such limited time during her limited screentime she showed  vulnerability  post partum depression  compassion  robert tells her about jean  determination  telling robert to fight  wisdom  reasoned it was strauss  strength  the only one that really made roger robb struggle,"{'neg': 0.177, 'neu': 0.596, 'pos': 0.227, 'compound': 0.7178}"
40,one thing i think i missed during the movie was in the beginning when they brought the titles for  fission  fusion i thought this would come back and it didnt anyone have an understand of what that meant does it have to do something with the color vs black and white could have missed something really basic,"{'neg': 0.074, 'neu': 0.926, 'pos': 0.0, 'compound': -0.5267}"
41,no one talking about him but jason clarke as roger robb in the interrogation scenes was genuinely brilliant just such an amazing performance all round from the whole cast,"{'neg': 0.042, 'neu': 0.684, 'pos': 0.274, 'compound': 0.8957}"
42,the dead silence in the theater during the trinity explosion something ill never forget experiencing in a full theater,"{'neg': 0.287, 'neu': 0.646, 'pos': 0.067, 'compound': -0.7531}"
43,they played the trailer to the exorcist believer before this movie ,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.34}"
44,i loved how that constant stomping noise is used to make you feel terror youre afraid anytime you hear it and then its revealed that the terrifying sound is a crowd of people cheering for oppenheimer it makes it even more scary,"{'neg': 0.193, 'neu': 0.675, 'pos': 0.131, 'compound': -0.5256}"
45,our mm showing stopped working  hours into the film a light bulb or something broke we had a little  min intermission and got free tickets bc of it overall one of nolans best films,"{'neg': 0.111, 'neu': 0.711, 'pos': 0.178, 'compound': 0.5859}"
46,christopher nolan has perfectly encapsulated what anxiety can feel like claustrophobic loud and unrelenting,"{'neg': 0.088, 'neu': 0.567, 'pos': 0.345, 'compound': 0.7184}"
47,he always answered because there was no caller id back then,"{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.296}"
48,no strauss youre not important enough to be discussed by oppenheimer and einstein,"{'neg': 0.256, 'neu': 0.744, 'pos': 0.0, 'compound': -0.4199}"
49,did anyone else notice that when strauss is retelling the story of oppenheimer embarrassing him he laughs along with everyone else but later in the movie when they show it hes completely stonefaced,"{'neg': 0.052, 'neu': 0.888, 'pos': 0.06, 'compound': 0.0772}"
50,cillian murphys haunting look at several key points of the film is just amazing that final conversation with einstein his stare is immense and powerful,"{'neg': 0.068, 'neu': 0.717, 'pos': 0.215, 'compound': 0.6705}"
51,seen it twice now already trinity test scene was remarkable and what most people will see the film for but there are so many other great scenes some of my favorite  can you hear the music robert the scene where oppenheimer is told to leave cambridge and we seem him abroad looking at art thinking of the quantum world all while the beautiful score is played such a beautiful montage it happens early so its somewhat over shadowed by the later scenes but make no mistake i think its one of the best in the film  the dinner with strauss where they are discussing whether or not there was a spy at los alamos and if the soviets have an hbomb i love this sequence i love the way the music swells the back and forth between strauss and oppenheimer and how the scene ends with oppenheimer says something to the effect of there was no spy and strauss holds up the data sheet and says robert rdj delivery of that line was like music i love how everything was played during that scene and how it all culminates with rdjs delivery of that line  im taking kyoto off the list due to its cultural significance to the japanese people also my wife and i honeymooned there fantastic and harrowing scene where they discuss how and where to effectively use the bomb james remar is particularly great  the gymnasium scene after they learned of the horishima bombing this was nolan directing a horror film first of all i loved the use of a wide open aperture during this scene as it gave the scene a very shallow depth of field resulting in a dream likenightmare like appearance this might be cillians best scene in the film watching oppenheimer dissociate from the jubilation of the crowd as the reality around him begins to break down as the destruction and death he was responsible for begins to truly sink in i love how flat his rahrah speech is and the use of sound here is tremendous the stamping of the feet the sound of the crowd going out the sound of a woman screaming the crowd noise slamming back in like a bomb itself  the whole last hour is great but the sequence where roger robb is realllyyy starting to grill oppenheimer and the blinding light begins to fill the room acting and editing here was just unreal  the scene with pash casey afflecks line delivery is so soft spoken yet unsettling really tense scene  you can use a shovel for atomic energy in fact you do i loved that this film used a rashomon style narrative where we see the same scene over and over again from different perspectives and subjectivity one of my favorites was the scene where oppenheimer humiliates strauss in public over the isotopes i love when we first see this scene strauss appears to take oppenheimers jabs with good humor smiling and shrugging it off but when the true nature of strauss is revealed near the end of the film we see this sequence again and strauss looks so angry and humiliated also cillians line delivery during these moments were so good i just love how he says in fact you do  the final scene where we learn what oppenheimer and einstein really said to each other that day nolan understands set up and pay off so well you watch the film waiting for the reveal and it does not disappoint the final moment with the vision of the nuclear holocaust is incredibly bleak but much of what einstein says to oppenheimer during before this is so sad and god damn poignant watching oppenheimer as an old man receive a hollow award and receive handshakes and pats on the back from some of the men that stabbed him in the back or attempted to the way einstein sums up the burden of genius but also the way you will be taken for granted as you age,"{'neg': 0.077, 'neu': 0.718, 'pos': 0.205, 'compound': 0.9989}"
52,rami maleks character hill was basically the opposite of strauss strauss is met with two minor slights by oppenheimer one imagined and makes it his mission to ruin his life hill was genuinely dismissed maybe even bullied by oppenheimer multiple times but years later decides to essentially exonerate him in front of a congressional hearing,"{'neg': 0.082, 'neu': 0.857, 'pos': 0.061, 'compound': -0.0644}"
53,he was so meandismissive to ramis character and yet he was the one who supported and back him up,"{'neg': 0.0, 'neu': 0.887, 'pos': 0.113, 'compound': 0.3182}"
54,a film that feels like an enormous pop culture event while simultaneously being a  hour dialogue heavy character study that extensively uses black and white photography watching such a film on a massive screen with a sold out crowd is honestly quite unbelievable in this day in age we almost exclusively expect this for comic book movies and not much else that thought alone genuinely brought me to the verge of tears multiple times we just dont get moments like this very often thankfully oppenheimer is worthy of the moment,"{'neg': 0.059, 'neu': 0.807, 'pos': 0.134, 'compound': 0.8206}"
55,i knew nothing of the history between oppenheimer and rdjs real life counterpart he was playing so when in the rd act its revealed hes the one orchestrating the campaign to ruin cillian murphy i was stunned legit the best twist i seen since la confidential,"{'neg': 0.098, 'neu': 0.789, 'pos': 0.113, 'compound': 0.2023}"
