,comment,sentiment_scores
97,im a fan of nolan i was so blown away like many i imagine the first time i saw the prestige it changed how i viewed movies i stuck with him through the years and was continued to be blown away oppenheimer is a larger than life film certainly seeing it in imax mm influenced that feeling but the film truly felt massive the nonlinear storytelling painted a world so complex and big the cinematography not only enlarged the characters on the screen but it amplified the consequences of their actions the score was perfect it never missed a beat and the moments when you were thrown into silence was beautifully garnished by the sound of the projector clicking away over my shoulder i know im not going to form a fully unbiased opinion on the film  minutes after coming out of my first mm imax showing in  years so maybe ill save that for another time but what i do want to say  the acting was phenomenal everybody just melted into their characters so well rdj was so great he was so fucking great  the story also worked well i liked the everpresent theme of the movie where oppenheimer was making all decisions rationally and the others in his life would be corrupted by selfishness pride or power not to say thats how it actually was but it worked as a lens to view through the eyes of oppenheimer nolan made a big deal of the fact he wrote this in the first person and it showed  i can see why some people preferred the first s of the movie and didnt like the last rd as much i still liked the climax and conclusion of the film especially the ending with einstein but that may be something i reconsider when im less biased the nonlinear storyline worked but perhaps it could have been better edited differently anyway im super happy i got to see it in imax mm im seeing it again that way on saturday and will likely return for all the other filmstrip souvenirs i dont want analog projections to die and am glad this movie was so good since it makes a great case for it,"{'neg': 0.049, 'neu': 0.754, 'pos': 0.196, 'compound': 0.9972}"
98,i thoroughly enjoyed the endless list of bit players in this the guy from numbers the guy from band of brothers and han solo working for strauss lucky number slevin freddie mercury the glasses guy from full metal jacket the jokers henchman in the dark knight that hereditary guy,"{'neg': 0.0, 'neu': 0.857, 'pos': 0.143, 'compound': 0.7713}"
99,that scene with oppenheimer giving speech while background rumbles and shake is too good,"{'neg': 0.094, 'neu': 0.611, 'pos': 0.294, 'compound': 0.5574}"
100,deleted,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
101,the last scene of the flashbacks near the lake was just incredible it culminates the entire debate and emotions of nuclear technology used as weapons first flashback the audience is made to believe einstein is upset at oppenheimer second flashback looks like einstein is upset at strauss final flashback we understand einstein was upset at himself its the whole debate of who do we blame for everything surrounding nuclear technology do we blame the theorist einstein the creator oppenheimer or the user strauss we see all three conflicts in  flashbacks to that one scene just brilliant,"{'neg': 0.162, 'neu': 0.781, 'pos': 0.057, 'compound': -0.8689}"
102,dont know why but einstein suddenly appearing after the taxi pulled away cracked me up he was like the hype superhero cameo showing up once an act lol,"{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.7876}"
103,my wife and i really liked the film were asians who were invaded by the japanese during the war and seeing the leadup to the trinity test and the explosion was a very emotional experience for us so much so that my wife wept knowing how much it had actually affected our history both for good and bad i also really liked how einstein was like a magical wizard in the movie throwing some sage advice from time to time,"{'neg': 0.124, 'neu': 0.736, 'pos': 0.14, 'compound': 0.1227}"
104,the speech where he begins to walk around the ashes of the people who were nuked was really fucked up and the trinity test scene was intense to the point where you could hear a pin drop while everybody was watching the test beginning the last  to  minutes are probably some of rdjs best acting ive ever seen absolutely goosebump worthy performances all around,"{'neg': 0.091, 'neu': 0.792, 'pos': 0.117, 'compound': 0.2228}"
105,jason clarke was so hateable in this very frustrating character but goddamn what a performance,"{'neg': 0.325, 'neu': 0.675, 'pos': 0.0, 'compound': -0.7389}"
106,marvel style jfk name drop cracked me up so much i think ive overconsumed capeshit,"{'neg': 0.117, 'neu': 0.726, 'pos': 0.156, 'compound': 0.1779}"
107,cant believe that when oppenheimer found his catchphrase he was looking at tiddies thats crazy,"{'neg': 0.146, 'neu': 0.854, 'pos': 0.0, 'compound': -0.34}"
108,that ending was a real kick in the pants what a line when oppenheimer was like im here to see my gynecologist,"{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.3612}"
109,i liked how the script incorporated a lot of small things that get passed around as part of legend like how kyoto was crossed off the target list because henry stimson had a honeymoon there the student who dramatically interrupted his haircut to go tell oppenheimer about the successful nuclear fission experiment he read in the paper the poisoned apple the making a bet on total ignition of the atmosphere and so on but i was surprised there wasnt a scene about fermi accurately estimating the yield of the trinity test with just some tiny papers the wind and educated guesses cant include it all i suppose the way the movie first incorporated the famous i am become death line felt for lack of a better word tacky,"{'neg': 0.084, 'neu': 0.836, 'pos': 0.08, 'compound': -0.3919}"
110,the fate of kyoto partially laying on the nostalgic hands of henry stinsons honeymoon,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
111,this did not feel like  hours at all no weak links everything about this movie is incredible cinematography score acting and the visuals of atoms colliding throughout the movie had a very anxious feel throughout the whole thing also the first time ive seen a line for the mens bathroom after a movie,"{'neg': 0.103, 'neu': 0.855, 'pos': 0.042, 'compound': -0.3605}"
112,cinematic masterpiece alright now its time to watch it again to try and understand who was what and why who was mad at who and why so and so was suppose to be someone important should have paid better attention in th grade history,"{'neg': 0.06, 'neu': 0.736, 'pos': 0.204, 'compound': 0.765}"
113,did anyone else feel emotional during the actual bomb test when it was going off jesus christ the way he mixed sound and editing did such a great job making you feel tense,"{'neg': 0.139, 'neu': 0.72, 'pos': 0.141, 'compound': 0.0258}"
114,am i over thinking the scene with jean where they talk about the bhagavadgita in the scene in which jean florence pugh asks him to read from the bhagavadgita he starts by trying to explain the context that arjuna finds himself but jean says she wants him to read the words so he does i am become death destroyer of worlds i dont know if any of you have read the bhagavad gita but the context oppenheimer is trying to give is that arjuna doesnt want to commit to war against his kin but lord krishna an incarnation of vishnu convinces arjuna that it is his dharma ie duty to wage war the fact that jean tells him to stop explaining the broader moral quandary that arjuna finds himself in and just read the words seems similar to the expectations laid on him within the military context it also of course reflects broader ideas around duty edit i welcome any criticisms of my thoughts from members of the hindu community it has been a long time since i read the bhagavadgita and im going from memory,"{'neg': 0.137, 'neu': 0.834, 'pos': 0.029, 'compound': -0.9745}"
115,fat man begins,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
116,were taking kyoto off the list because i vacationed there once with my wife nice people i havent been enraged by a movie in a long time but that sure did it,"{'neg': 0.0, 'neu': 0.817, 'pos': 0.183, 'compound': 0.6683}"
117,no ones talking bout the kitty visualizing jean riding oppie in the testimony room scene that was very shiningkubrick esque didnt think nolan had it in him to go there bravo,"{'neg': 0.068, 'neu': 0.932, 'pos': 0.0, 'compound': -0.296}"
118,that opening with the prometheus quote is genuinely one of my favorite things ever just brilliant,"{'neg': 0.0, 'neu': 0.673, 'pos': 0.327, 'compound': 0.7783}"
119,edward teller making a paper airplane as oppenheimer is talking with the other scientists is one of the funniest things to happen in the background in such a serious film as this,"{'neg': 0.037, 'neu': 0.86, 'pos': 0.103, 'compound': 0.5106}"
120,it was made clear that the more terrifying prospect is that oppenheimer genuinely doesnt know how much of what he did was for his own personal ego and his desire to be remembered versus his moral qualms,"{'neg': 0.089, 'neu': 0.737, 'pos': 0.174, 'compound': 0.4186}"
121,cillian murphy felt like even if he was making eye contact with someone he still had that  yard stare he really carried this movie,"{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.3612}"
